Alias;Канонический key;Название города в UI;canonical_city_id;region;region_id;country;Район
Архангельск / ski runners;Arkhangelsk;Архангельск;31;Архангельская Область;0;Россия;
Архангельская область;Arkhangelsk;Архангельск;31;Архангельская Область;0;Россия;
Ахангельская область;Arkhangelsk;Архангельск;31;Архангельская Область;0;Россия;
Вельск;Velsk;Вельск;79;Архангельская Область;0;Россия;
Г. каргополь (каргопольский район);Kargopol;Каргополь;226;Архангельская Область;0;Россия;
Котлас архангельской области;Kotlas;Котлас;278;Архангельская Область;0;Россия;
Няндома;Nyandoma;Няндома;418;Архангельская Область;0;Россия;
Онега;Onega;Онега;430;Архангельская Область;0;Россия;
Брянск;Bryansk;Брянск;69;Брянская Область;0;Россия;
Александров;Aleksandrov;Александров;18;Владимирская Область;0;Россия;
Гусь-хрустальный;Gus Khrustalnyy;Гусь-Хрустальный;140;Владимирская Область;0;Россия;
Карабаново;Karabanovo;Карабаново;223;Владимирская Область;0;Россия;
Vologda;Vologda;Вологда;98;Вологодская Область;0;Россия;Вологодский
Белозерск;Belozersk;Белозерск;44;Вологодская Область;0;Россия;Белозерский
Волгда;Vologda;Вологда;98;Вологодская Область;0;Россия;Вологодский
Вологла;Vologda;Вологда;98;Вологодская Область;0;Россия;Вологодский
Волоода;Vologda;Вологда;98;Вологодская Область;0;Россия;Вологодский
Вуологда;Vologda;Вологда;98;Вологодская Область;0;Россия;Вологодский
Вытегра;Vytegra;Вытегра;122;Вологодская Область;0;Россия;Вытегорский
Красавино;Krasavino;Красавино;280;Вологодская Область;0;Россия;Великоустюгский
Нововоронеж;Novovoronezh;Нововоронеж;404;Воронежская Область;0;Россия;
Ангарск;Angarsk;Ангарск;23;Иркутская область;0;Россия;
Иркутск;Irkutsk;Иркутск;208;Иркутская область;0;Россия;
Калининград;Kaliningrad;Калининград;215;Калининградская область;0;Россия;
Светлогорск;Svetlogorsk;Светлогорск;520;Калининградская область;0;Россия;
Белоусово;Belousovo;Белоусово;48;Калужская Область;0;Россия;
Калужская обл., г.таруса;Tarusa;Таруса;578;Калужская Область;0;Россия;
Киров;Kirov;Киров;237;Калужская Область;0;Россия;
Обнинск;Obninsk;Обнинск;419;Калужская Область;0;Россия;
Обнинск флго;Obninsk;Обнинск;419;Калужская Область;0;Россия;
Петрозаводск;Petrozavodsk;Петрозаводск;461;Карелия Республика;0;Россия;
Vyktil;Vuktyl;Вуктыл;113;Коми Республика;99;Россия;
Сосногорск;Sosnogorsk;Сосногорск;557;Коми Республика;0;Россия;
Ухта;Ukhta;Ухта;620;Коми Республика;0;Россия;
Буй, костромская обл.;Buy;Буй;72;Костромская Область;0;Россия;
Волгореченск;Volgorechensk;Волгореченск;96;Костромская Область;0;Россия;
Кострома;Kostroma;Кострома;275;Костромская Область;0;Россия;
Костромская обл. г.мантурово;Manturovo;Мантурово;340;Костромская Область;0;Россия;
Шарья;Sharya;Шарья;663;Костромская Область;0;Россия;
Шарья костромская область;Sharya;Шарья;663;Костромская Область;0;Россия;
Железногорск;Zheleznogorsk;Железногорск;171;Красноярский Край;0;Россия;
Всеволожск;Vsevolozhsk;Всеволожск;112;Ленинградская Область;0;Россия;
Гатчина;Gatchina;Гатчина;131;Ленинградская Область;0;Россия;
Ленинградская область город  сертолово;Sertolovo;Сертолово;532;Ленинградская Область;0;Россия;
Ленинградская облсть город сертолово;Sertolovo;Сертолово;532;Ленинградская Область;0;Россия;
Лодейное поле;Lodeynoe pole;Лодейное поле;327;Ленинградская Область;0;Россия;
Сертолово;Sertolovo;Сертолово;532;Ленинградская Область;0;Россия;
Тихвин;Tikhvin;Тихвин;581;Ленинградская Область;0;Россия;
Инсар;Insar;Инсар;204;Мордовия Республика;0;Россия;
Саранск;Saransk;Саранск;516;Мордовия Республика;0;Россия;
Балашиха, мкр. заря;Balashikha;Балашиха;36;Московская Область;0;Россия;
Долгопрудный;Dolgoprudnyy;Долгопрудный;153;Московская Область;0;Россия;
Дубна;Dubna;Дубна;157;Московская Область;0;Россия;
Коломна;Kolomna;Коломна;257;Московская Область;0;Россия;
Красноармейск;Krasnoarmeysk;Красноармейск;281;Московская Область;0;Россия;
Краснозаводск;Krasnozavodsk;Краснозаводск;286;Московская Область;0;Россия;
Люберцы;Lyubertsy;Люберцы;332;Московская Область;0;Россия;
Мытищи;Mytischi;Мытищи;373;Московская Область;0;Россия;
Протвино;Protvino;Протвино;485;Московская Область;0;Россия;
Раменское;Ramenskoe;Раменское;492;Московская Область;0;Россия;
Солнечногорск;Solnechnogorsk;Солнечногорск;551;Московская Область;0;Россия;
Фрязино;Fryazino;Фрязино;626;Московская Область;0;Россия;
Химки новогорск;Khimki;Химки;636;Московская Область;0;Россия;
Черноголовка;Chernogolovka;Черноголовка;653;Московская Область;0;Россия;
Чехов;Chekhov;Чехов;654;Московская Область;0;Россия;
Г.оленегорск-2;Olenegorsk;Оленегорск;427;Мурманская Область;0;Россия;
Мончегорск;Monchegorsk;Мончегорск;363;Мурманская Область;0;Россия;
Мурманск;Murmansk;Мурманск;369;Мурманская Область;0;Россия;
Арзамас;Arzamas;Арзамас;30;Нижегородская Область;0;Россия;
Ворсма;Vorsma;Ворсма;108;Нижегородская Область;0;Россия;
Выкса;Vyksa;Выкса;116;Нижегородская Область;0;Россия;
Заволжье;Zavolzhe;Заволжье;179;Нижегородская Область;0;Россия;
Кстово;Kstovo;Кстово;297;Нижегородская Область;0;Россия;
В. Новгород;Velikiy Novgorod;Великий Новгород;77;Новгородская Область;99;Россия;
Новосибирск;Novosibirsk;Новосибирск;411;Новосибирская Область;0;Россия;
Пенза;Penza;Пенза;446;Пензенская Область;0;Россия;
.пермь;Perm;Пермь;453;Пермский край;#Н/Д;Россия;
Г.александровск пермский край;Aleksandrovsk;Александровск;20;Пермский край;0;Россия;
Красновишерск;Krasnovishersk;Красновишерск;283;Пермский Край;0;Россия;
Пермский край г.александровск;Aleksandrovsk;Александровск;20;Пермский Край;0;Россия;
Пермский край г.кизел;Kizel;Кизел;229;Пермский Край;0;Россия;
Пермь;Perm;Пермь;453;Пермский Край;0;Россия;
Каменск-шахтинский;Kamensk-shakhtinskiy;Каменск-шахтинский;218;Ростовская Область;0;Россия;
Ростов-на-дону;Rostov-na-donu;Ростов-на-дону;501;Ростовская Область;0;Россия;
Рязань;Ryazan;Рязань;509;Рязанская Область;0;Россия;
Сасово рязанская область;Sasovo;Сасово;519;Рязанская Область;0;Россия;
Самара;Samara;Самара;513;Самарская Область;0;Россия;
Тольяти;Tolyatti;Тольятти;585;Самарская Область;0;Россия;
Тольятти;Tolyatti;Тольятти;585;Самарская Область;0;Россия;
Саратов;Saratov;Саратов;517;Саратовская Область;0;Россия;
Оха;Okha;Оха;435;Сахалинская Область;0;Россия;
Екатеринбург;Ekaterinburg;Екатеринбург;164;Свердловская Область;0;Россия;
Смоленск;Smolensk;Смоленск;544;Смоленская Область;0;Россия;
Моршанск;Morshansk;Моршанск;365;Тамбовская Область;0;Россия;
Бологое;Bologoe;Бологое;59;Тверская Область;0;Россия;
Тверь;Tver;Тверь;580;Тверская Область;0;Россия;
Удомля;Udomlya;Удомля;599;Тверская Область;0;Россия;
Ефремов;Efremov;Ефремов;170;Тульская Область;0;Россия;
Тула;Tula;Тула;594;Тульская Область;0;Россия;
Тюмень;Tyumen;Тюмень;596;Тюменская Область;0;Россия;
Ижевск;Izhevsk;Ижевск;197;Удмуртская Республика;0;Россия;
Димитровград;Dimitrovgrad;Димитровград;150;Ульяновская Область;0;Россия;
Ульяновск;Ulyanovsk;Ульяновск;602;Ульяновская Область;0;Россия;
Когалым;Kogalym;Когалым;250;Ханты-Мансийский АО - Югра Автономный округ;0;Россия;
Сургут;Surgut;Сургут;569;Ханты-Мансийский АО - Югра Автономный округ;0;Россия;
Троицк;Troitsk;Троицк;591;Челябинская Область;0;Россия;
Челябинск;Chelyabinsk;Челябинск;649;Челябинская Область;0;Россия;
Данилов;Danilov;Данилов;141;Ярославская Область;0;Россия;
Переславль-залесский;Pereslavl-zalesskiy;Переславль-залесский;451;Ярославская Область;0;Россия;
Рыбинск квмр.ру;Rybinsk;Рыбинск;508;Ярославская Область;0;Россия;
Углич;Uglich;Углич;597;Ярославская Область;0;Россия;
Ярославль г. - российская федерация, ярославская область;Yaroslavl;Ярославль;695;Ярославская Область;0;Россия;
Tampere;Tampere;Тампере;575;;0;Финляндия;
Vilnius;Vilnyus;Вильнюс;88;;0;Латвия;
Александровка;Aleksandrovka;Александровка;19;Саратовская Область;0;Россия;
Белый ручей;Belyy ruchey;Белый ручей;49;Вологодская Область;0;Россия;Вытегорский
Верхний волочёк;Verkhniy volochyok;Верхний волочёк;82;Тверская Область;0;Россия;
Верховажье-санкт-петербург;Verkhovazhe;Верховажье;85;Вологодская Область;0;Россия;Верховажский
Витебск;Vitebsk;Витебск;89;Витебская;0;Беларусь;
Власиха;Vlasikha;Власиха;91;Московская Область;0;Россия;
Вохтога;Vokhtoga;Вохтога;111;Вологодская Область;0;Россия;Междуреченский
Вышний волочёк;Vyshniy volochyok;Вышний волочёк;124;Тверская Область;0;Россия;
г.Курск с.Тазово;Tazovo;Тазово;573;Курская Область;99;Россия;
Гомель;Gomel;Гомель;134;Гомельская область;0;Беларусь;
Гомель беларусь;Gomel belarus;Гомель беларусь;135;Гомельская область;0;Беларусь;
Д. основинская;Oosnovinskaya;Основинская;431;Свердловская Область;0;Россия;
Д. плосково;Ploskovo;Плосково;467;Вологодская Область;0;Россия;Череповецкий
д.Микицыно;Mikitsyno;Микицыно;350;Вологодская Область;99;Россия;Вологодский
Д.сметанино;Smetanino;Сметанино;543;Вологодская Область;0;Россия;Верховажский
Деревня сметанино;Smetanino;Сметанино;543;Вологодская Область;0;Россия;Верховажский
Дмитров;Dmitrov;Дмитров;152;Московская Область;0;Россия;
Железнодоорожный;Zheleznodorozhnyy;Железнодорожный;172;Московская Область;0;Россия;
Железнодорожный;Zheleznodorozhnyy;Железнодорожный;172;Московская Область;0;Россия;
Запрудня;Zaprudnya;Запрудня;181;Московская Область;0;Россия;
Зеленоград;Zelenograd;Зеленоград;188;Московская Область;0;Россия;
Истра;Istra;Истра;209;Московская Область;0;Россия;
Кировская область;Kirovskaya oblast;Кировская область;240;Кировская Область;0;Россия;
Кичменгский городок;Kichmengskiy gorodok;Кичменгский городок;242;Вологодская Область;0;Россия;Кичменгско-Городецкий
Клин;Klin;Клин;244;Московская Область;0;Россия;
Королев;Korolev;Королев;268;Московская Область;0;Россия;
Липин бор;Lipin bor;Липин бор;324;Вологодская Область;0;Россия;Вашкинский
М;M;М;333;Вологодская Область;0;Россия;0
Минск;Minsk;Минск;352;Минская область;0;Россия;
Мск;Moskva;Москва;366;Москва;0;Россия;
Мурманская область, мурмаши;Murmashi;Мурмаши;370;Мурманская Область;0;Россия;
Мурмаши;Murmashi;Мурмаши;370;Мурманская Область;0;Россия;
Одинцово;Odintsovo;Одинцово;422;Московская Область;0;Россия;
Орел;Orel;Орел;432;Орловская Область;0;Россия;
П. вожега;Vozhega;Вожега;94;Вологодская Область;0;Россия;Вожегодский
П. шексна;Sheksna;Шексна;667;Вологодская Область;0;Россия;Шекснинский
